127,13,25,62.6,,2008-06-18 15:07:26,2008-06-18 15:07:26
128,13,64,1.1,,2008-06-18 15:07:26,2008-06-18 15:07:26
129,13,34,24.0,,2008-06-18 15:07:26,2008-06-18 15:07:26
130,13,52,0.389,,2008-06-18 15:07:26,2008-06-18 15:07:26
131,13,48,0.262,,2008-06-18 15:07:26,2008-06-18 15:07:26
132,13,55,2.8013,,2008-06-18 15:07:26,2008-06-18 15:07:26
133,13,5,16.65,,2008-06-18 15:07:26,2008-06-18 15:07:26
134,13,50,7.474,,2008-06-18 15:07:26,2008-06-18 15:07:26
135,13,19,2.342,T,2008-06-18 15:07:26,2008-06-18 15:07:26
136,14,56,3.423,T,2008-06-18 15:07:26,2008-06-18 15:07:26
137,14,25,54.2,,2008-06-18 15:07:26,2008-06-18 15:07:26
138,14,64,0.4,,2008-06-18 15:07:26,2008-06-18 15:07:26
139,14,34,22.0,,2008-06-18 15:07:26,2008-06-18 15:07:26
140,14,52,0.336,,2008-06-18 15:07:26,2008-06-18 15:07:26
141,14,48,0.25,,2008-06-18 15:07:26,2008-06-18 15:07:26
142,14,55,2.0742,,2008-06-18 15:07:26,2008-06-18 15:07:26
143,14,5,15.1,,2008-06-18 15:07:26,2008-06-18 15:07:26
144,14,50,7.51,,2008-06-18 15:07:26,2008-06-18 15:07:26
145,14,19,1.352,,2008-06-18 15:07:26,2008-06-18 15:07:26
146,15,25,45.9,,2008-06-18 15:07:26,2008-06-18 15:07:26
147,15,29,8.55,,2008-06-18 15:07:26,2008-06-18 15:07:26
148,15,6,16.15,,2008-06-18 15:07:26,2008-06-18 15:07:26
149,15,64,0.5,,2008-06-18 15:07:26,2008-06-18 15:07:26
150,15,34,16.8,,2008-06-18 15:07:26,2008-06-18 15:07:26
151,15,52,0.473,,2008-06-18 15:07:26,2008-06-18 15:07:26
152,15,48,0.146,,2008-06-18 15:07:26,2008-06-18 15:07:26
153,15,55,2.23,,2008-06-18 15:07:26,2008-06-18 15:07:26
154,15,5,16.06,,2008-06-18 15:07:26,2008-06-18 15:07:26
155,15,50,7.155,,2008-06-18 15:07:26,2008-06-18 15:07:26
156,15,30,6.0,,2008-06-18 15:07:26,2008-06-18 15:07:26
157,16,25,39.3,,2008-06-18 15:07:26,2008-06-18 15:07:26
158,16,29,3.0,,2008-06-18 15:07:26,2008-06-18 15:07:26
159,16,6,11.93,,2008-06-18 15:07:26,2008-06-18 15:07:26
160,16,64,0.4,,2008-06-18 15:07:26,2008-06-18 15:07:26
161,16,34,12.6,,2008-06-18 15:07:26,2008-06-18 15:07:26
162,16,52,0.436,,2008-06-18 15:07:26,2008-06-18 15:07:26
163,16,48,0.209,,2008-06-18 15:07:26,2008-06-18 15:07:26
164,16,55,2.41,,2008-06-18 15:07:26,2008-06-18 15:07:26
165,16,5,14.35,,2008-06-18 15:07:26,2008-06-18 15:07:26
166,16,50,7.017,,2008-06-18 15:07:26,2008-06-18 15:07:26
167,17,25,54.0,,2008-06-18 15:07:26,2008-06-18 15:07:26
168,17,29,7.8,,2008-06-18 15:07:26,2008-06-18 15:07:26
169,17,6,15.7,,2008-06-18 15:07:26,2008-06-18 15:07:26
170,17,64,1.2,,2008-06-18 15:07:26,2008-06-18 15:07:26
171,17,34,21.7,,2008-06-18 15:07:26,2008-06-18 15:07:26
172,17,10,0.05,T,2008-06-18 15:07:26,2008-06-18 15:07:26
173,17,52,0.511,,2008-06-18 15:07:26,2008-06-18 15:07:26
174,17,48,0.053,,2008-06-18 15:07:26,2008-06-18 15:07:26
