id,name,description,waterbody_id,,,
220,Little Pond,,90009,,,
221,Little River Lake,,34839,,,
222,Little Sister Lake,,5228,,,
223,Loch Alva,,23855,,,
224,Loch Lomond,,32904,,,
225,Long Lake,,81154,,,
226,Long Lake,,5237,,,
227,Long Pond,,90287,,,
228,Lower Peaked Mountain Lake,,6613,,,
229,Lower Tetagouche Lake,,35267,,,
230,Lunts Brook,,73954,,,
231,Mactaquac Lake,,70101,,,
232,Mactaquac Lake (Bulls Creek Basin),,70091,,,
233,Mactaquac Lake (Hammond Brook Basin),,70093,,,
234,Mactaquac Lake (Haunted Brook Basin),,70094,,,
235,Mactaquac Lake (Joslin Creek Basin),,70095,,,
236,Mactaquac Lake (Kellys Creek Basin),,70096,,,
237,Mactaquac Lake (Little Falls Pond),,70097,,,
238,Mactaquac Lake (McNallys Cove),,70099,,,
239,Mactaquac Lake (Snowshoe Cove),,70098,,,
240,Magaguadavic Lake,,21751,,,
241,Mary Ann Lake,,50078,,,
242,Mary Pitcher Lake,,32384,,,
243,McCormack Lake,,10070,,,
244,McKendrick Lake,,7203,,,
245,McRae Lake,,37020,,,
246,Meadow Lakes (East),,13378,,,
247,Meadow Lakes (West),,13376,,,
248,Mechanic Lake,,26824,,,
249,Middle Dam,,90304,,,
250,Middle Peaked Mountain Lake,,6614,,,
251,Middle River,,34880,,,
252,Mill Lake,,22500,,,
253,Miller Lake,,74548,,,
254,Miller Pond,,90317,,,
255,Milligan Lake,,,,,
256,Millstream River,,37941,,,
257,Moores Mills Lake,,39223,,,
258,Moose Lake,,23743,,,
259,Mosquito Lake,,23364,,,
260,Mud Lake,,38502,,,
261,Mullin Stream Lake,,9134,,,
262,Murray Lake,,13416,,,
264,N Br Charlo River,,36224,,,
265,Napan River,,508,,,
266,Nashwaak Lake,,55743,,,
268,Neary Pond,,81515,,,
269,Nepisiguit River,,33020,,,
270,Newcastle Creek,,58501,,,
271,Nictau Lake,,79761,,,
272,Nigadoo Lake,,37745,,,
273,Nigadoo River,,37721,,,
274,North Lake,,7589,,,
275,North Little River Lake,,9892,,,
276,NW Miramichi River,,9701,,,
277,Odell River,,83301,,,
278,Ormond Lake,,23013,,,
279,Oromocto Lake,,52146,,,
280,Other - Dalhousie Plant,,,,,
281,Other - Exhibition,,,,,
282,Other - Exhibits and Bioassays,,,,,
283,Other - Fish Hatchery Acadia,,,,,
284,Other - Irving (J. Gilbert),,,,,
285,Other - Renous Prison,,,,,
286,Other - Ronald Nowlan's Fish,,,,,
287,Other - SE Anglers Assoc. Satellite Rearing,,,,,
288,Other - St. Leonard Hatchery,,,,,
289,Other - Tobique Native Band,,,,,
290,Other - Tracadie Satellite Rearing,,,,,
291,Other - Windemere Pond,,,,,
292,Other - Woodsman Museum,,,,,
293,Pabineau Lake,,34728,,,
294,Palfrey Lake,,38651,,,
295,Parks Lake,,62215,,,
296,Peabody Lake,,9391,,,
297,Peters Brook,,64443,,,
298,Pickett Lake,,64457,,,
299,Pokemouche River,,41101,,,
301,Popelogan Lake,,12820,,,
302,Princess Pond,,58443,,,
303,Queens Lake,,23730,,,
304,Quisibis Lake,,75329,,,
305,Red Rock Lake,,22460,,,
306,Reid Lake,,72346,,,
307,Richibucto River,,29180,,,
308,Riley Lake,,81766,,,
309,Riley Lake,,70998,,,
310,Rivière Baker-Brook,,73101,,,
312,Rocky Brook Lake,,7227,,,
313,Rocky Lake,,23288,,,
314,Roger Lake,,33299,,,
315,Roulston Lake,,78118,,,
317,Round Lake,,32892,,,
318,Round Pond,,90268,,,
319,S Br Charlo River,,35860,,,
320,S Br Kedgwick River,,18851,,,
321,Sandy Cove Pond,,90252,,,
322,Scotch Lake,,87009,,,
323,Second Eel Lake,,70992,,,
324,Second Portage Lake,,34019,,,
325,Serpentine Lake,,80827,,,
326,Shaddick Lake,,9604,,,
327,Shediac River,,30961,,,
328,Silver Lake,,55652,,,
329,Sisson Branch Reservoir,,79140,,,
331,Skiff Lake,,38672,,,
332,Sole Leather Lake,,34225,,,
333,South Lake,,7588,,,
334,South Little River Lake,,9886,,,
335,South Oromocto Lake,,52862,,,
336,Sparks Lake,,22464,,,
337,Spednic Lake,,38793,,,
338,Spikehorn Lake,,7208,,,
339,Square Lake,,31644,,,
340,Squaretail Pond,,58436,,,
341,Stewart Brook Lake,,82170,,,
342,Strachens Lake,,34293,,,
343,Strip Mine Pond,,999999,,,
344,Strip Mine Pond (#466),,999999,,,
345,Strip Mine Pond (#469),,999999,,,
346,Strip Mine Pond (#477),,999999,,,
347,Strip Mine Pond (#503),,999999,,,
348,Strip Mine Pond (#511),,999999,,,
349,Strip Mine Pond (#617),,999999,,,
350,Strip Mine Pond (#757),,999999,,,
351,Strip Mine Pond (#769),,999999,,,
352,Strip Mine Pond (#774),,999999,,,
353,Strip Mine Pond (#783),,999999,,,
354,Strip Mine Pond (#786),,999999,,,
355,Strip Mine Pond (#789),,999999,,,
356,Strip Mine Pond (#854),,999999,,,
357,Strip Mine Pond (#855),,999999,,,
358,Strip Mine Pond (Apache Pond),,999999,,,
359,Strip Mine Pond (Avalanche Pond),,999999,,,
360,Strip Mine Pond (Azure Pond),,999999,,,
361,Strip Mine Pond (Beaver Pond),,999999,,,
362,Strip Mine Pond (Big Daddy Pond),,999999,,,
363,Strip Mine Pond (Big Foot Pond),,999999,,,
364,Strip Mine Pond (Big Track Pond),,999999,,,
365,Strip Mine Pond (Boomerang Pond),,999999,,,
366,Strip Mine Pond (Buccaneer Pond),,999999,,,
367,Strip Mine Pond (Cattail Pond),,999999,,,
368,Strip Mine Pond (Doe Pond),,999999,,,
369,Strip Mine Pond (Eighteen Pond),,999999,,,
370,Strip Mine Pond (Fireweed Pond),,999999,,,
371,Strip Mine Pond (Fish Rock Pond),,999999,,,
372,Strip Mine Pond (Fossil Pond),,999999,,,
373,Strip Mine Pond (Gypsy Pond),,999999,,,
374,Strip Mine Pond (Icicle Pond),,999999,,,
375,Strip Mine Pond (Malachite Pond),,999999,,,
376,Strip Mine Pond (Maliseet Pond),,999999,,,
377,Strip Mine Pond (Meadows Pond),,999999,,,
378,Strip Mine Pond (Milky Pond),,999999,,,
379,"Strip Mine Pond (Mr. ""T"" Pond)",,999999,,,
380,Strip Mine Pond (Muskateer Pond),,999999,,,
381,Strip Mine Pond (New),,999999,,,
382,Strip Mine Pond (Peacock Pond),,999999,,,
383,Strip Mine Pond (Pheasant Pond),,999999,,,
384,Strip Mine Pond (Picture Pond),,999999,,,
385,Strip Mine Pond (Pine Tree Pond),,999999,,,
386,Strip Mine Pond (Pit Pond),,999999,,,
387,Strip Mine Pond (Puddle Pond),,999999,,,
388,Strip Mine Pond (Rover Pond),,999999,,,
389,Strip Mine Pond (Scottie Pond),,999999,,,
390,Strip Mine Pond (Shamrock Pond),,999999,,,
391,Strip Mine Pond (Shepherd Pond),,999999,,,
392,Strip Mine Pond (Spearhead Pond),,999999,,,
393,Strip Mine Pond (Tranquil Pond),,999999,,,
394,Strip Mine Pond (Whiskey I Pond),,999999,,,
395,Strip Mine Pond (Whiskey II Pond),,999999,,,
396,Strip Mine Pond (Whiskey III Pond),,999999,,,
398,Strip Mine Pond (Wildcat Pond),,999999,,,
399,Strip Mine Pond (Windy Pond),,999999,,,
400,Strip Mine Pond (Wishbone Pond),,999999,,,
401,Strip Mine Pond (Wreck Pond),,999999,,,
408,Tabusintac River,,42200,,,
410,Taylor Lake,,32747,,,
411,Teagues Lake,,40228,,,
412,Tetagouche River,,35144,,,
413,Theobald Lake,,32563,,,
414,Third Lake,,74131,,,
415,Tomogonops Lake,,10090,,,
416,Tongue Lake,,37074,,,
417,Treadwell Lake,,67425,,,
418,Trousers Lake,,81325,,,
419,Trout Lake,,3473,,,
420,Trout Lake,,50684,,,
422,Twin Lakes (West),,6522,,,
423,Unknown Lake,,,,,
426,Unnamed (Grizz Bear Pond),,70280,,,
427,Unnamed (River de Chute Pond),,84112,,,
428,Unnamed (Sinnots Pond),,86957,,,
429,Unnamed (Summit Depot Pond),,74549,,,
430,Upper Peaked Mountain Lake,,6616,,,
431,Upper Tetagouche Lake,,35321,,,
432,Valentine Lake,,6634,,,
433,Victoria Lake,,23197,,,
434,Walker Lake,,32505,,,
435,Walton Lake,,32436,,,
436,West Branch Reservoir (South),,23803,,,
437,West Long Lake,,23208,,,
438,Wheaton Lake,,21002,,,
439,Whitebirch Lake,,34286,,,
440,Whitney Pond,,8660,,,
441,Wild Goose Lake,,74335,,,
442,Williamstown Lake,,71824,,,
443,Wilson Pond,,90342,,,
444,Yoho Lake,,52328,,,
445,Bear Lake,Bear 1,7617,,,
447,Nepisiguit River - Bathurst Harbour,,33020,,,
448,Benedict Brook,,74114,,,
449,Little Bear Lake,Bear 2,7615,,,
450,Big Pond,Big Meadow,90003,,,
451,Fifth Lake,,38741,,,
453,Gaspereau River,,59001,,,
454,Grande Rivière,,75701,,,
455,West Branch Reservoir (North),,23804,,,
456,Indian Lake,,36146,,,
457,Rivière Iroquois,,73601,,,
458,Jones Lake,,27322,,,
459,The Keyhole,,58412,,,
460,Little Lepreau Reservoir,,23503,,,
461,Little River,,58001,,,
462,Lovalls Lake,,34549,,,
463,Madawaska River,,73301,,,
464,McAdam Pond,,21294,,,
465,Middle Tetagouche Lake,,35306,,,
466,Munson Lake,,23334,,,
467,Murphy Lake,,50924,,,
468,Nepisiguit River Reservoir,,34624,,,
469,Pokemouche River - Estuary,,41101,,,
470,Rivière Quisibis,,75101,,,
471,Rivière Siegas,,75501,,,
472,Shogomoc Stream,,70601,,,
473,Tom Davis Lake,,21854,,,
474,Trout Lake,,22516,,,
475,Whistler Pond,,58720,,,
476,Other - Woolastook,,,,,
477,Other - Universities,,,,,
478,Catamaran Lake,,7533,,,
479,Duffs Lake,,12106,,,
480,Tobique - Arthurette Smolt Wheel,,77500,,,
481,Tobique Fishway,,77500,,,
482,Nashwaak Fence,,54700,,,
483,Mactaquac Dam,Mactaquac Dam (crowder pool),50001,,,
484,LSW Miramichi Smolt Wheel,,7950,,,
485,Millerton Trap,,4300,,,
486,Dungarvon Barrier - Frying Pan Pool,,6401,,,
487,NW Miramichi Barrier - North Branch Pool,,9701,,,
488,N Br SW Miramichi Barrier - Bridge Pool,,4001,,,
489,Bartholomew Fence,,5901,,,
490,Millbank Trap,,600,,,
491,SW Eel Ground Trap 2,,4300,,,
492,NW Enclosure,,9701,,,
493,Rt Hd Br Tobique - Half Mile Pool,,80200,,,
494,NW Upsalquitch -Ten Mile Pool,,14000,,,
495,Jacquet River Barrier - Big Rock Pool,,36701,,,
496,St. Croix Fishway,,38500,,,
497,Magaguadavic Fishway,,21450,,,
498,Kennebecasis Fence,,64800,,,
499,Nepisiguit Fence,,33020,,,
500,Rocky Brook Fence - Young Dam,,5301,,,
501,Rocky Brook Fence - Trap Pool,,5301,,,
502,Hammond River Trap,,66901,,,
503,Burnthill Fence,,4601,,,
504,Rocky Brook Smolt Wheel,,5301,,,
505,Magaguadavic Smolt Wheel - Sluiceway,,21450,,,
506,Magaguadavic Smolt Wheel - Lee Settlement,,21450,,,
507,Linton Stream Smolt Wheel,,21479,,,
508,NW Cassilis,,9701,,,
509,NW Eel Ground,,9701,,,
510,SW Eel Ground Trap 1,,4300,,,
511,Tobique Headpond Fyke Net,,77500,,,
512,Tobique Headpond Trap Net,,77500,,,
513,Tobique  - Wapske Fyke Net,,77500,,,
514,Rt Hd Br Tobique Fyke Net,,80200,,,
515,Tobique - Plaster Rock Smolt Wheel,,77500,,,
516,Tobique - Gulguac Smolt Wheel,,77500,,,
517,Tobique - Nictau Smolt Wheel,,77500,,,
518,Tobique - Odell Smolt Wheel,,77500,,,
519,Tobique - Three Brooks Smolt Wheel,,77500,,,
520,Rt Hd Br Tobique Smolt Wheel,,80200,,,
521,SW Miramichi River,Upper Sisters Pool,4300,,,
522,L Main Restigouche River,Bridge site upstream of Yellow Brook,16950,,,
523,L Main Restigouche River,Downstream of bridge above Alex Brook,16950,,,
524,L Main Restigouche River,Camp 5 bridge,16950,,,
525,Clearwater Brook,Headwaters 100m from Plaster Rock highwat,4901,,,
526,Hammond River,,66901,,,
527,Hammond River,,66901,,,
528,Salt Springs Brook,,66934,,,
529,South Stream,,67111,,,
530,Hammond River,,66901,,,
531,Germaine Brook,,67092,,,
532,Hanford Brook,,67057,,,
533,N Br Hammond River,,67182,,,
534,Hammond River,,66901,,,
